,city,timezone,date_time,league_name,home_team,home_team_name,home_id,home_team_city,home_team_country,home_capacity,away_team,away_id,away_team_city,away_team_country,iata_h,iata_a,icao_h,icao_a,airport_city_h,airport_city_a,lat_h,lon_h,lat_a,lon_a,Average_flights,number_of_flights,Air France,Lufthansa,British Airways
101,Rennes,UTC,2020-11-24 17:55:00,UEFA Champions League,Rennes,Rennes,94,Rennes,France,31127,Chelsea,49,London,England,RNS,BQH,LFRN,EGKB,Rennes,London,48.071941,-1.73222,51.33083,0.0325,3.34,3,1.0,0.0,0.0
102,Krasnodar,UTC,2020-11-24 17:55:00,UEFA Champions League,Krasnodar,Krasnodar,621,Krasnodar,Russia,35074,Sevilla,536,Sevilla,Spain,KRR,MAD,URKK,LEMD,Krasnodar,Madrid,45.034679,39.170528,40.488701,-3.57,7.17,9,1.0,1.0,0.0
103,Roma,UTC,2020-11-24 20:00:00,UEFA Champions League,Lazio,Lazio,487,Roma,Italy,68530,Zenit Saint Petersburg,596,St. Petersburg,Russia,RMA,SPG,YROM,KSPG,Roma,St. Petersburg,-26.545,148.774719,27.76511,-82.6269,3.04,4,1.0,0.0,1.0
104,Dortmund,UTC,2020-11-24 20:00:00,UEFA Champions League,Borussia Dortmund,Borussia Dortmund,165,Dortmund,Germany,81365,Club Brugge KV,569,Brugge,Belgium,DTM,BRU,EDLW,EBBR,Dortmund,Brussels,51.518311,7.612242,50.901379,4.484444,6.88,10,1.0,1.0,0.0
105,Torino,UTC,2020-11-24 20:00:00,UEFA Champions League,Juventus,Juventus,496,Torino,Italy,45666,Ferencvarosi TC,651,Budapest,Hungary,FCO,QEB,LIRF,LHBS,Rome,Budapest,41.80447,12.25079,47.450832,18.980556,4.82,4,0.0,0.0,0.0
106,Kiev,UTC,2020-11-24 20:00:00,UEFA Champions League,Dynamo Kyiv,Dynamo Kyiv,572,Kiev,Ukraine,70050,Barcelona,529,Barcelona,Spain,KBP,BCN,UKBB,LEBL,Kyiv,Barcelona,50.345001,30.89472,41.29707,2.078463,6.59,8,0.0,3.0,2.0
107,Paris,UTC,2020-11-24 20:00:00,UEFA Champions League,Paris Saint Germain,Paris Saint Germain,85,Paris,France,47929,RB Leipzig,173,Leipzig,Germany,BVA,LEJ,LFOB,EDDP,Paris,Leipzig,49.454441,2.112778,51.432442,12.24163,2.57,3,0.0,0.0,1.0
108,Manchester,UTC,2020-11-24 20:00:00,UEFA Champions League,Manchester United,Manchester United,33,Manchester,England,76212,Istanbul Basaksehir,564,İstanbul,Turkey,MAN,IST,EGCC,LTFM,Manchester,Istanbul,53.353741,-2.27495,41.267052,28.729757,11.95,15,2.0,1.0,0.0
109,Mönchengladbach,UTC,2020-11-25 17:55:00,UEFA Champions League,Borussia Monchengladbach,Borussia Monchengladbach,163,Mönchengladbach,Germany,54057,Shakhtar Donetsk,550,Kiev,Ukraine,FRA,KBP,EDDF,UKBB,Frankfurt,Kyiv,50.037796,8.555783,50.345001,30.89472,2.99,6,0.0,0.0,2.0
110,Piraeus,UTC,2020-11-25 17:55:00,UEFA Champions League,Olympiakos Piraeus,Olympiakos Piraeus,553,Piraeus,Greece,33296,Manchester City,50,Manchester,England,ATH,MAN,LGAV,EGCC,Athens,Manchester,37.936352,23.94446,53.353741,-2.27495,5.65,7,1.0,0.0,2.0
111,Liverpool,UTC,2020-11-25 20:00:00,UEFA Champions League,Liverpool,Liverpool,40,Liverpool,England,55212,Atalanta,499,Bergamo,Italy,LPL,FCO,EGGP,LIRF,Liverpool,Rome,53.333611,-2.84972,41.80447,12.25079,3.12,5,1.0,1.0,2.0
112,Amsterdam,UTC,2020-11-25 20:00:00,UEFA Champions League,Ajax,Ajax,194,Amsterdam,Netherlands,54990,FC Midtjylland,397,Herning,Denmark,AMS,CPH,EHAM,EKCH,Amsterdam,Copenhagen,52.308609,4.763889,55.616959,12.645637,6.54,7,1.0,0.0,0.0
114,München,UTC,2020-11-25 20:00:00,UEFA Champions League,Bayern Munich,Bayern Munich,157,München,Germany,75000,Red Bull Salzburg,571,Wals-Siezenheim,Austria,FRA,VIE,EDDF,LOWW,Frankfurt,Vienna,50.037796,8.555783,48.110271,16.569719,8.75,8,2.0,0.0,0.0
115,Madrid,UTC,2020-11-25 20:00:00,UEFA Champions League,Atletico Madrid,Atletico Madrid,530,Madrid,Spain,68456,Lokomotiv Moscow,597,Moskva,Russia,MAD,SVO,LEMD,UUEE,Madrid,Moscow,40.488701,-3.57,55.972641,37.414581,9.13,10,1.0,0.0,1.0
116,Milano,UTC,2020-11-25 20:00:00,UEFA Champions League,Inter,Inter,505,Milano,Italy,80018,Real Madrid,541,Madrid,Spain,FCO,MAD,LIRF,LEMD,Rome,Madrid,41.80447,12.25079,40.488701,-3.57,8.4,8,2.0,2.0,0.0
117,Moskva,UTC,2020-12-01 17:55:00,UEFA Champions League,Lokomotiv Moscow,Lokomotiv Moscow,597,Moskva,Russia,28800,Red Bull Salzburg,571,Wals-Siezenheim,Austria,SVO,VIE,UUEE,LOWW,Moscow,Vienna,55.972641,37.414581,48.110271,16.569719,3.99,6,0.0,2.0,1.0
118,Kiev,UTC,2020-12-01 17:55:00,UEFA Champions League,Shakhtar Donetsk,Shakhtar Donetsk,550,Kiev,Ukraine,70050,Real Madrid,541,Madrid,Spain,KBP,MAD,UKBB,LEMD,Kyiv,Madrid,50.345001,30.89472,40.488701,-3.57,7.57,10,2.0,0.0,2.0
119,Bergamo,UTC,2020-12-01 20:00:00,UEFA Champions League,Atalanta,Atalanta,499,Bergamo,Italy,21300,FC Midtjylland,397,Herning,Denmark,FCO,CPH,LIRF,EKCH,Rome,Copenhagen,41.80447,12.25079,55.616959,12.645637,3.81,5,0.0,1.0,1.0
120,Marseille,UTC,2020-12-01 20:00:00,UEFA Champions League,Marseille,Marseille,81,Marseille,France,67394,Olympiakos Piraeus,553,Piraeus,Greece,MRS,ATH,LFML,LGAV,Marseille,Athens,43.436661,5.215,37.936352,23.94446,5.25,7,1.0,2.0,2.0
121,Liverpool,UTC,2020-12-01 20:00:00,UEFA Champions League,Liverpool,Liverpool,40,Liverpool,England,55212,Ajax,194,Amsterdam,Netherlands,LPL,AMS,EGGP,EHAM,Liverpool,Amsterdam,53.333611,-2.84972,52.308609,4.763889,4.29,7,0.0,1.0,1.0
122,Mönchengladbach,UTC,2020-12-01 20:00:00,UEFA Champions League,Borussia Monchengladbach,Borussia Monchengladbach,163,Mönchengladbach,Germany,54057,Inter,505,Milano,Italy,FRA,FCO,EDDF,LIRF,Frankfurt,Rome,50.037796,8.555783,41.80447,12.25079,10.05,10,1.0,0.0,1.0
123,Madrid,UTC,2020-12-01 20:00:00,UEFA Champions League,Atletico Madrid,Atletico Madrid,530,Madrid,Spain,68456,Bayern Munich,157,München,Germany,MAD,FRA,LEMD,EDDF,Madrid,Frankfurt,40.488701,-3.57,50.037796,8.555783,7.65,8,1.0,1.0,1.0
124,Porto,UTC,2020-12-01 20:00:00,UEFA Champions League,FC Porto,FC Porto,212,Porto,Portugal,50399,Manchester City,50,Manchester,England,OPO,MAN,LPPR,EGCC,Porto,Manchester,41.248051,-8.68138,53.353741,-2.27495,3.45,5,1.0,3.0,0.0
125,Krasnodar,UTC,2020-12-02 17:55:00,UEFA Champions League,Krasnodar,Krasnodar,621,Krasnodar,Russia,35074,Rennes,94,Rennes,France,KRR,RNS,URKK,LFRN,Krasnodar,Rennes,45.034679,39.170528,48.071941,-1.73222,4.9,5,0.0,1.0,1.0
126,İstanbul,UTC,2020-12-02 17:55:00,UEFA Champions League,Istanbul Basaksehir,Istanbul Basaksehir,564,İstanbul,Turkey,17319,RB Leipzig,173,Leipzig,Germany,IST,LEJ,LTFM,EDDP,Istanbul,Leipzig,41.267052,28.729757,51.432442,12.24163,5.75,6,0.0,0.0,2.0
127,Budapest,UTC,2020-12-02 20:00:00,UEFA Champions League,Ferencvarosi TC,Ferencvarosi TC,651,Budapest,Hungary,23698,Barcelona,529,Barcelona,Spain,QEB,BCN,LHBS,LEBL,Budapest,Barcelona,47.450832,18.980556,41.29707,2.078463,7.11,10,1.0,4.0,0.0
